name,value
Albania,ALB
Andorra,AND
Austria,AUT
Belarus,BLR
Belgium,BEL
Bosnia & Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Estonia,EST
Faroe Islands,FRO
Finland,FIN
France,FRA
Germany,GER
Gibraltar,GIB
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Macedonia,FYR
Malta,MLT
Moldova,MDA
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
Norway,NOR
Poland,POL
Portugal,PRT
Serbia,SRB
Romania,ROU
Russia,RUS
San Marino,SMR
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Ukraine,UKR
United Kingdom,GBR
